lektion,tid,dag
Ma2a,"14:00,14:50",Måndag
"Japanska 1","15:00,16:50",Måndag
Nk1a1,"8:10,09:10",Måndag
Digiskap1,"9:20,11:00",Måndag
"El o mikrodattek","11:50,13:10",Måndag
N�tverksadm,"13:15,15:00",Måndag
"Dator o n�tverkstek","8:10,09:35",Måndag
"N�tverkstek EE23","12:00,13:00",Måndag
Mekatronik,"13:15,14:55",Måndag
"Idrott spec 1B","15:00,16:20",Måndag
Ma2a,"15:00,16:35",Måndag
"N�tverkstechno EE24","10:00,11:00",Måndag
Ma1a,"13:25,14:55",Måndag
Ma2b,"8:10,09:10",Måndag
Sv3,"9:20,11:00",Måndag
"Konstart sam","12:00,13:30",Måndag
Ma2b,"15:05,16:25",Måndag
"Webbutveck 1 ES23/TE23","9:45,11:05",Måndag
Ani1,"12:00,13:50",Måndag
"Graf kom1","13:55,14:55",Måndag
Samh1b,"13:25,14:45",Måndag
Prog2,"11:55,14:55",Måndag
Tek1,"9:35,10:55",Måndag
Ma1c,"12:00,13:20",Måndag
Ma2c,"12:00,13:20",Måndag
